ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
659031576,Photo,Habitat,,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"","",Unspecified,"","",,,,,,,S164840558,"",,,,,,,,,,.00,0,"",2978,3970
659031561,Photo,Habitat,,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"","",Unspecified,"","",,,,,,,S164840558,"",,,,,,,,,,.00,0,"",2987,3983
659031542,Photo,Habitat,,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"","",Unspecified,"","",,,,,,,S164840558,"",,,,,,,,,,.00,0,"",2989,3985
659031533,Photo,Habitat,,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"","",Unspecified,"","",,,,,,,S164840558,"",,,,,,,,,,.00,0,"",2972,3962
659031072,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2253,3380
659031055,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2054,3081
659030999,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2295,3442
659030956,Photo,Rainbow-bearded Thornbill,Chalcostigma herrani,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Chalcostigma herrani,rabtho1,Species,4530,,.00,0,,2243,3364
659030932,Photo,Rainbow-bearded Thornbill,Chalcostigma herrani,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Chalcostigma herrani,rabtho1,Species,4530,,.00,0,,2591,3887
659030892,Photo,Rainbow-bearded Thornbill,Chalcostigma herrani,Glaucidium jardinii -- Andean Pygmy-Owl,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Chalcostigma herrani,rabtho1,Species,4530,,.00,0,,2856,4284
659030869,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2264,3396
659030859,Photo,Andean Pygmy-Owl,Glaucidium jardinii,Chalcostigma herrani -- Rainbow-bearded Thornbill,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2856,4284
659030783,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2159,3238
659030770,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2302,3453
659030750,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2372,3558
659030726,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2375,3563
659030693,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2619,3928
659030686,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2382,3573
659030661,Photo,Andean Pygmy-Owl,Glaucidium jardinii,Eriocnemis mosquera -- Golden-breasted Puffleg,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2365,3547
659030623,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2264,3396
659030580,Photo,Andean Pygmy-Owl,Glaucidium jardinii,Eriocnemis mosquera -- Golden-breasted Puffleg,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2225,3338
659030576,Photo,Golden-breasted Puffleg,Eriocnemis mosquera,Glaucidium jardinii -- Andean Pygmy-Owl,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Eriocnemis mosquera,gobpuf1,Species,4597,,.00,0,,2225,3338
659030532,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2023,3035
659030502,Photo,Andean Pygmy-Owl,Glaucidium jardinii,Eriocnemis mosquera -- Golden-breasted Puffleg,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2319,3479
659030500,Photo,Golden-breasted Puffleg,Eriocnemis mosquera,Glaucidium jardinii -- Andean Pygmy-Owl,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Eriocnemis mosquera,gobpuf1,Species,4597,,.00,0,,2319,3479
659030471,Photo,Andean Pygmy-Owl,Glaucidium jardinii,Eriocnemis mosquera -- Golden-breasted Puffleg,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,2382,3573
659030366,Photo,Andean Pygmy-Owl,Glaucidium jardinii,Eriocnemis mosquera -- Golden-breasted Puffleg,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,1584,2376
659030293,Photo,Golden-breasted Puffleg,Eriocnemis mosquera,Glaucidium jardinii -- Andean Pygmy-Owl,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Eriocnemis mosquera,gobpuf1,Species,4597,,.00,0,,1584,2376
659030275,Photo,Andean Pygmy-Owl,Glaucidium jardinii,,,George Roussey,2024-03-14,2024,3,14,1614,Colombia,CO-CAL,Caldas,,"Frailes, Villamaría CO-Caldas 4.99984, -75.32748",4.9998360,-75.3274770,"",,Unspecified,false,false,,,,,,,S164840558,"",,,,,Glaucidium jardinii,anpowl1,Species,9022,,.00,0,,1839,2758
659024061,Photo,Golden-plumed Parakeet,Leptosittaca branickii,,,Dorian Anderson,2026-03-23,2026,3,23,613,Colombia,CO-CAL,Caldas,,El Color de mis Rêves,4.9903550,-75.4074960,Adult – 1,,Unspecified,false,false,,,,,,,S312542507,"",,,,,Leptosittaca branickii,goppar1,Species,13161,,4.97,35,,4757,3806
659019728,Photo,Buff-rumped Warbler,Myiothlypis fulvicauda,,,David Lemmon,2026-05-31,2026,5,31,730,Colombia,CO-CAL,Caldas,,Ecoparque Los Alcázares-Arenillo,5.0643831,-75.5323446,"",Vocalizing,Unspecified,"","",,,,,,,S351928803,"",,,,,Myiothlypis fulvicauda,burwar1,Species,34308,,.00,0,"",1478,2048
659011280,Photo,Red-billed Scythebill,Campylorhamphus trochilirostris,Campylorhamphus trochilirostris -- Red-billed Scythebill,,Fernando Rios,2026-04-04,2026,4,4,638,Colombia,CO-CAL,Caldas,,Manzanares--Vda. Las mercedes,5.2555379,-75.0733137,"",,Unspecified,false,false,,,,,,,S316947496,"",,,,,Campylorhamphus trochilirostris,rebscy1,Species,14887,,.00,0,,880,720
659010105,Photo,Golden-plumed Parakeet,Leptosittaca branickii,,,Dorian Anderson,2026-03-23,2026,3,23,613,Colombia,CO-CAL,Caldas,,El Color de mis Rêves,4.9903550,-75.4074960,Adult – 1,,Unspecified,false,false,,,,,,,S312542507,"",,,,,Leptosittaca branickii,goppar1,Species,13161,,4.96,25,,4807,3846
659006222,Photo,Slaty Finch,Haplospiza rustica,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Haplospiza rustica,slafin1,Species,35389,,.00,0,,860,1210
659006221,Photo,Slaty Finch,Haplospiza rustica,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Haplospiza rustica,slafin1,Species,35389,,.00,0,,940,1210
659006199,Photo,Masked Saltator,Saltator cinctus,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Saltator cinctus,massal1,Species,35845,,.00,0,,1048,940
659006200,Photo,Masked Saltator,Saltator cinctus,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Saltator cinctus,massal1,Species,35845,,.00,0,,1211,1079
659006177,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,1211,1088
659006179,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,1211,1093
659006178,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,1211,1172
659006173,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,824,1211
659006174,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,920,1211
659006175,Photo,White-sided Flowerpiercer,Diglossa albilatera,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Diglossa albilatera,whsflo1,Species,35291,,.00,0,,881,1211
659006142,Photo,Gray-browed Brushfinch,Arremon assimilis,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Arremon assimilis,sthbrf8,Species,33041,,.00,0,,862,1211
659006141,Photo,Gray-browed Brushfinch,Arremon assimilis,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Arremon assimilis,sthbrf8,Species,33041,,.00,0,,872,1211
659006120,Photo,Slaty-backed Nightingale-Thrush,Catharus fuscater,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Catharus fuscater,sbnthr1,Species,28274,,.00,0,,848,1211
659006118,Photo,Slaty-backed Nightingale-Thrush,Catharus fuscater,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Catharus fuscater,sbnthr1,Species,28274,,.00,0,,846,1211
659006119,Photo,Slaty-backed Nightingale-Thrush,Catharus fuscater,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Catharus fuscater,sbnthr1,Species,28274,,.00,0,,802,1211
659006121,Photo,Slaty-backed Nightingale-Thrush,Catharus fuscater,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Catharus fuscater,sbnthr1,Species,28274,,.00,0,,952,1211
659006101,Photo,White-capped Dipper,Cinclus leucocephalus,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Cinclus leucocephalus,whcdip1,Species,27674,,.00,0,,771,1211
659006102,Photo,White-capped Dipper,Cinclus leucocephalus,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Cinclus leucocephalus,whcdip1,Species,27674,,.00,0,,876,1211
659006103,Photo,White-capped Dipper,Cinclus leucocephalus,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Cinclus leucocephalus,whcdip1,Species,27674,,.00,0,,825,1211
659006082,Photo,Brown-bellied Swallow,Orochelidon murina,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Orochelidon murina,brbswa1,Species,24135,,4.00,1,,791,1211
659006081,Photo,Brown-bellied Swallow,Orochelidon murina,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Orochelidon murina,brbswa1,Species,24135,,.00,0,,789,1211
659006074,Photo,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Pygochelidon cyanoleuca,bawswa1,Species,24128,,.00,0,,927,1211
659006070,Photo,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Pygochelidon cyanoleuca,bawswa1,Species,24128,,.00,0,,960,1211
659006075,Photo,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Pygochelidon cyanoleuca,bawswa1,Species,24128,,.00,0,,859,1211
659006072,Photo,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Pygochelidon cyanoleuca,bawswa1,Species,24128,,.00,0,,832,1211
659006073,Photo,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Pygochelidon cyanoleuca,bawswa1,Species,24128,,.00,0,,926,1211
659006071,Photo,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Pygochelidon cyanoleuca,bawswa1,Species,24128,,.00,0,,869,1211
659006039,Photo,Rufous-crowned Tody-Flycatcher,Poecilotriccus ruficeps,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Poecilotriccus ruficeps,rcttyr1,Species,16384,,.00,0,,1083,1211
659006041,Photo,Rufous-crowned Tody-Flycatcher,Poecilotriccus ruficeps,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Poecilotriccus ruficeps,rcttyr1,Species,16384,,.00,0,,972,1211
659006038,Photo,Rufous-crowned Tody-Flycatcher,Poecilotriccus ruficeps,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Poecilotriccus ruficeps,rcttyr1,Species,16384,,.00,0,,1194,1211
659006016,Photo,Green-and-black Fruiteater,Pipreola riefferii,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,male,Pipreola riefferii,gabfru1,Species,15849,,.00,0,,1211,1086
659006017,Photo,Green-and-black Fruiteater,Pipreola riefferii,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,male,Pipreola riefferii,gabfru1,Species,15849,,.00,0,,1211,1048
659005997,Photo,Pearled Treerunner,Margarornis squamiger,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Margarornis squamiger,peatre1,Species,15304,,.00,0,,1196,1100
659005995,Photo,Pearled Treerunner,Margarornis squamiger,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Margarornis squamiger,peatre1,Species,15304,,.00,0,,1211,944
659005996,Photo,Pearled Treerunner,Margarornis squamiger,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Margarornis squamiger,peatre1,Species,15304,,.00,0,,1211,1073
659005961,Photo,Slate-crowned Antpitta,Grallaricula nana,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Grallaricula nana,slcant2,Species,14352,,.00,0,,950,1211
659005964,Photo,Slate-crowned Antpitta,Grallaricula nana,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Grallaricula nana,slcant2,Species,14352,,.00,0,,1211,1156
659005963,Photo,Slate-crowned Antpitta,Grallaricula nana,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Grallaricula nana,slcant2,Species,14352,,.00,0,,1211,1206
659005957,Photo,Slate-crowned Antpitta,Grallaricula nana,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Grallaricula nana,slcant2,Species,14352,,.00,0,,900,1210
659005959,Photo,Slate-crowned Antpitta,Grallaricula nana,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Grallaricula nana,slcant2,Species,14352,,.00,0,,1056,1211
659005960,Photo,Slate-crowned Antpitta,Grallaricula nana,,,Hal and Kirsten Snyder,2026-03-30,2026,3,30,626,Colombia,CO-CAL,Caldas,,Reserva Ecológica Río Blanco--Lodge,5.0732224,-75.4378641,"",,Unspecified,false,false,,,,,,,S348895790,"",,,,,Grallaricula nana,slcant2,Species,14352,,.00,0,,1000,1211
