Loro orejiamarillo,Ognorhynchus icterotis
Copetón Tiranillo (magister),Myiarchus tyrannulus magister
Moscareta Colinegra,Myiobius atricaudus
Moscareta Vellosa,Myiobius villosus
Candelita de Anteojos,Myioborus melanocephalus
Candelita Plomiza,Myioborus miniatus
Candelita Adornada (Frentigualda),Myioborus ornatus chrysops
Bienteveo Ventridorado,Myiodynastes hemichrysus
Bienteveo Ventriazufrado,Myiodynastes luteiventris
Bienteveo Rayado,Myiodynastes maculatus
Bienteveo Rayado (Septentrional),Myiodynastes maculatus [maculatus Group]
Fiofío Selvático,Myiopagis gaimardii
Fiofío Verdoso,Myiopagis viridicata
Fiofío Verdoso (grupo viridicata),Myiopagis viridicata [viridicata Group]
Mosquero Estriado,Myiophobus fasciatus
Mosquero Amarillo,Myiophobus flavicans
Mosqueta Capirotada,Myiornis atricapillus
Birro Ahumado,Myiotheretes fumigatus
Reinita Coronirroja,Myiothlypis coronata
Reinita Culiparda,Myiothlypis fulvicauda
Reinita Crestinegra,Myiothlypis nigrocristata
Mosquerito Adornado,Myiotriccus ornatus
Mosquerito Adornado (Occidental),Myiotriccus ornatus ornatus/stellatus
Bienteveo Alicastaño,Myiozetetes cayanensis
Bienteveo Cabecigrís,Myiozetetes granadensis
Bienteveo Sociable,Myiozetetes similis
Bienteveo Sociable (grupo similis),Myiozetetes similis [similis Group]
Hormiguerito Flanquialbo,Myrmotherula axillaris
Hormiguerito Pizarroso,Myrmotherula schisticolor
Cormorán Biguá,Nannopterum brasilianum
Malvasía Enmascarada,Nomonyx dominicus
Buco Picogordo Occidental,Notharchus hyperrhynchus
Buco Pechinegro,Notharchus pectoralis
Buco Pío,Notharchus tectus
Zarapito Trinador Americano,Numenius hudsonicus
Pintada Común,Numida meleagris
Pintada Común (variedad doméstica),Numida meleagris (Domestic type)
Martinete Coronado,Nyctanassa violacea
Martinete Coronado (grupo violacea),Nyctanassa violacea [violacea Group]
Martinete Coronado (pauper),Nyctanassa violacea pauper
Nictibio Grande,Nyctibius grandis
Nictibio Urutaú,Nyctibius griseus
Martinete Común,Nycticorax nycticorax
Martinete Común (americano),Nycticorax nycticorax hoactli
Martinete Común (euroasiático),Nycticorax nycticorax nycticorax
Martinete Común (Oscuro),Nycticorax nycticorax obscurus
Chotacabras Pauraque,Nyctidromus albicollis
Pitajo Ventricastaño,Ochthoeca cinnamomeiventris
Pitajo Dorsipardo,Ochthoeca fumicolor
Pitajo Pechirrufo,Ochthoeca rufipectoralis
Corcovado Común,Odontophorus gujanensis
Mosquero Real Amazónico,Onychorhynchus coronatus
Mosquero Real Amazónico (norteño),Onychorhynchus coronatus mexicanus/fraterculus
Colibrí Picolezna,Opisthoprora euryptera
Ganso del Orinoco,Oressochen jubatus
Golondrina Ventriparda,Orochelidon murina
Malvasía Andina,Oxyura ferruginea
Anambé Canelo,Pachyramphus cinnamomeus
Anambé Aliblanco,Pachyramphus polychopterus
Anambé Cinéreo,Pachyramphus rufus
Anambé Barrado,Pachyramphus versicolor
Verdillo Menor,Pachysylvia decurtata
Capuchino Arrocero de Java,Padda oryzivora
Águila Pescadora,Pandion haliaetus
Águila Pescadora (americana),Pandion haliaetus carolinensis
Águila Pescadora (australiana),Pandion haliaetus cristatus
Águila Pescadora (Euroasiática),Pandion haliaetus haliaetus
Vencejo Tijereta Chico,Panyptila cayennensis
Busardo Culiblanco,Parabuteo leucorrhous
Busardo Mixto,Parabuteo unicinctus
Busardo Mixto (unicinctus),Parabuteo unicinctus unicinctus
Rascón Negruzco,Pardirallus nigricans
Azulillo Grande,Passerina caerulea
Paloma Colorada,Patagioenas cayennensis
Paloma Torcaza,Patagioenas fasciata
Paloma Plomiza,Patagioenas plumbea
Paloma Escamosa,Patagioenas speciosa
Paloma Vinosa,Patagioenas subvinacea
Pavo Real Común,Pavo cristatus
Pavo Real Común (variedad doméstica),Pavo cristatus (Domestic type)
Pelícano Pardo,Pelecanus occidentalis
Pelícano Pardo (California),Pelecanus occidentalis californicus
Pelícano Pardo (Atlántico),Pelecanus occidentalis carolinensis
Pelícano Pardo (Galápagos),Pelecanus occidentalis urinator
Pava Cojolita,Penelope purpurascens
Golondrina Risquera,Petrochelidon pyrrhonota
Golondrina Risquera (grupo pyrrhonota),Petrochelidon pyrrhonota [pyrrhonota Group]
Ermitaño Ventripálido,Phaethornis anthophilus
Ermitaño Verde,Phaethornis guy
Ermitaño Piquilargo,Phaethornis longirostris
Ermitaño Gorjiestriado,Phaethornis striigularis
Charrán Picudo,Phaetusa simplex
Falaropo Tricolor,Phalaropus tricolor
Picogrueso Dorsinegro,Pheucticus aureoventris
Picogrueso Dorsinegro (Culiamarillo),Pheucticus aureoventris uropygialis/terminalis
Picogrueso Pechirrosado,Pheucticus ludovicianus
Cucarachero Cabecigrís,Pheugopedius spadix
Colibrí de Mitchell,Philodice mitchellii
Bienteveo Chico,Philohydor lictor
Ibis Afeitado,Phimosus infuscatus
Flamenco Rojo,Phoenicopterus ruber
Mosquerito Cabecigrís,Phyllomyias griseiceps
Cuco Ardilla Común,Piaya cayana
Carpintero Verdiamarillo,Piculus chrysochloros
Carpintero Verdiamarillo (chrysochloros),Piculus chrysochloros chrysochloros
Garza Capirotada,Pilherodius pileatus
Loro Alibronceado,Pionus chalcopterus
Loro Cabeciazul,Pionus menstruus
Loro Cabeciazul (Cabeciazul),Pionus menstruus menstruus/rubrigularis
Loro Tumultuoso,Pionus tumultuosus
Tangara de Antifaz,Pipraeidea melanonota
Frutero Barrado,Pipreola arcuata
Frutero Verdinegro (grupo riefferii),Pipreola riefferii [riefferii Group]
Piranga Bermeja,Piranga flava
Piranga Bermeja (de Tierras Altas),Piranga flava [lutea Group]
Piranga Aliblanca,Piranga leucoptera
Piranga Escarlata,Piranga olivacea
Piranga Roja,Piranga rubra
Espátula Rosada,Platalea ajaja
Picoplano Bigotudo,Platyrinchus mystaceus
Morito Común,Plegadis falcinellus
Chorlito Dorado Americano,Pluvialis dominica
Zampullín Picogrueso,Podilymbus podiceps
Titirijí Capirrufo,Poecilotriccus ruficeps
Orejerito Jaspeado,Pogonotriccus ophthalmicus
Perlita Cejiancha,Polioptila bilineata
Perlita Tropical,Polioptila plumbea
Amazilia Amable,Polyerata amabilis
Polluela Sora,Porzana carolina
Subepalo Moteado,Premnoplex brunnescens
Golondrina Pechigrís,Progne chalybea
Golondrina Purpúrea,Progne subis
Golondrina Purpúrea (hesperia),Progne subis hesperia
Golondrina Parda,Progne tapera
Reinita Protonotaria,Protonotaria citrea
Cacique Dorsirrufo,Psarocolius angustifrons
Cacique Crestado,Psarocolius decumanus
Cacique Cabecicastaño,Psarocolius wagleri
Busardo Blanco,Pseudastur albicollis
Trepamusgos Barbablanca Andino,Pseudocolaptes boissonneautii
Trepamusgos Barbablanca del Pacífico,Pseudocolaptes johnsoni
Tiranuelo Cabecirrojo,Pseudotriccus ruficeps
Arasarí Culirrojo,Pteroglossus erythropygius
Arasarí Culirrojo (Piquipálido),Pteroglossus erythropygius erythropygius
Arasarí Culirrojo (Sanguíneo),Pteroglossus erythropygius sanguineus
Arasarí Acollarado,Pteroglossus torquatus
Lechuzón de Anteojos,Pulsatrix perspicillata
Golondrina Barranquera,Pygochelidon cyanoleuca
Golondrina Barranquera (Norteña),Pygochelidon cyanoleuca cyanoleuca
Mosquero Cardenal,Pyrocephalus rubinus
Mosquero Cardenal (grupo mexicanus),Pyrocephalus rubinus [mexicanus Group]
Mosquero Cardenal (grupo obscurus),Pyrocephalus rubinus [obscurus Group]
Yacutoro,Pyroderus scutatus
Birro Chico,Pyrrhomyias cinnamomeus
Birro Chico (cinnamomeus/pyrrhopterus),Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
Cotinga Quérula,Querula purpurata
Zanate Caribeño,Quiscalus lugubris
Zanate Mexicano,Quiscalus mexicanus
Zanate Mexicano (grupo mexicanus),Quiscalus mexicanus [mexicanus Group]
Tucán Pechigualdo,Ramphastos ambiguus
Tucán Piquiverde,Ramphastos sulfuratus
Tucán Vitelino,Ramphastos vitellinus
Tucán Vitelino (ariel),Ramphastos vitellinus ariel
Soterillo Picudo,Ramphocaenus melanurus
Tangara Dorsirroja,Ramphocelus dimidiatus
Tangara Flamígera,Ramphocelus flammigerus
Tangara Flamígera (culigualda),Ramphocelus flammigerus icteronotus
Picoplano Cabezón,Ramphotrigon megacephalum
Tangara Rosada,Rhodinocichla rosea
Picoplano Equinoccial,Rhynchocyclus aequinoctialis
Avión Zapador,Riparia riparia
Caracolero Común,Rostrhamus sociabilis
Busardo Caminero (grupo magnirostris),Rupornis magnirostris [magnirostris Group]
Busardo Caminero (grupo pucherani),Rupornis magnirostris [pucherani Group]
Rayador Americano,Rynchops niger
Rayador Americano (cinerascens),Rynchops niger cinerascens
Rayador Americano (intercedens),Rynchops niger intercedens
Batará Crestinegro,Sakesphorus canadensis
Pepitero Alinegro,Saltator atripennis
Pepitero Gorjicanelo,Saltator maximus
Pepitero Grisáceo del Caribe,Saltator olivascens
Zopilote Rey,Sarcoramphus papa
Pato Crestudo Americano,Sarkidiornis sylvicola
Amazilia Verdiazul,Saucerottia saucerottei
Mosquero Negro,Sayornis nigricans
Tangara Carinegra,Schistochlamys melanopis
Churrín Negruzco,Scytalopus latrans
Piojito Guardarríos,Serpophaga cinerea
Reinita Amarilla,Setophaga aestiva
Reinita Castaña,Setophaga castanea
Reinita Gorjinaranja,Setophaga fusca
Reinita de Pensilvania,Setophaga pensylvanica
Parula Pitiayumí,Setophaga pitiayumi
Parula Pitiayumí (Sudamericana),Setophaga pitiayumi [pitiayumi Group]
Candelita Norteña,Setophaga ruticilla
Reinita Estriada,Setophaga striata
Reinita Atigrada,Setophaga tigrina
Reinita Dorsiverde,Setophaga virens
Chirigüe Azafranado,Sicalis flaveola
Chirigüe Sabanero,Sicalis luteola
Pitajo Diademado,Silvicultrix diadema
Trepatroncos Oliváceo,Sittasomus griseicapillus
Trepatroncos Oliváceo (grupo griseicapillus),Sittasomus griseicapillus [griseicapillus Group]
Cuchara Común,Spatula clypeata
Cerceta Colorada,Spatula cyanoptera
Cerceta Aliazul,Spatula discors
Chupasavia Norteño,Sphyrapicus varius
Jilguero Encapuchado,Spinus magellanicus
Jilguero Menor,Spinus psaltria
Arrocero,Spiza americana
Águila Poma,Spizaetus isidori
Águila Blanquinegra,Spizaetus melanoleucus
Águila Galana,Spizaetus ornatus
Águila Negra,Spizaetus tyrannus
Tangara Coroniazul,Sporathraupis cyanocephala
Semillero Curió,Sporophila angolensis
Semillero Piquigrande,Sporophila crassirostris
Semillero Piquigrueso,Sporophila funerea
Semillero Intermedio,Sporophila intermedia
Semillero Overo,Sporophila lineola
Semillero Negriblanco,Sporophila luctuosa
Semillero Pechirrufo,Sporophila minuta
Semillero Ventriamarillo,Sporophila nigricollis
Semillero Plomizo,Sporophila plumbea
Guácharo,Steatornis caripensis
Golondrina Gorjirrufa,Stelgidopteryx ruficollis
Charrán Sudamericano,Sterna hirundinacea
Charrancito Amazónico,Sternula superciliaris
Tangara Cabeciazul,Stilpnia cyanicollis
Tangara Coroninegra,Stilpnia heinei
Tangara Cabecidorada,Stilpnia larvata
Tangara Matorralera,Stilpnia vitriolina
Tórtola Rosigrís,Streptopelia roseogrisea
Vencejo Cuellirrojo,Streptoprocne rutila
Vencejo Acollarado,Streptoprocne zonaris
Cárabo Blanquinegro,Strix nigrolineata
Cárabo Café,Strix virgata
Cárabo Café (grupo virgata),Strix virgata [virgata Group]
Pradero Oriental,Sturnella magna
Pradero Oriental (grupo magna),Sturnella magna [magna Group]
Mosquero Matorralero Norteño,Sublegatus arenarum
Pijuí Pechiblanco,Synallaxis albescens
Pijuí de Azara,Synallaxis azarae
Pijuí Pizarroso,Synallaxis brachyura
Ticotico Rayado,Syndactyla subalaris
Garza Chiflona,Syrigma sibilatrix
Chotacabras Ñañarca Grande,Systellura longirostris
Zampullín Macacito,Tachybaptus dominicus
Golondrina Aliblanca,Tachycineta albiventer
Tangara de Delattre,Tachyphonus delatrii
Tangara Negra,Tachyphonus rufus
Diamante Cebra,Taeniopygia guttata
Diamante Cebra (australiano),Taeniopygia guttata castanotis
Tangara Dorada,Tangara arthus
Tangara Dorada (Pechidorada),Tangara arthus [aurulenta Group]
Tangara Florida,Tangara florida
Tangara Cabecibaya,Tangara gyrola
Tangara Cabecibaya (Pechiazul),Tangara gyrola [albertinae Group]
Tangara Goliplateada,Tangara icterocephala
Tangara Cenicienta,Tangara inornata
Tangara Verdinegra,Tangara labradorides
Tangara de Lentejuelas,Tangara nigroviridis
Tangara Carafuego,Tangara parzudakii
Tangara Carafuego (Carigualda),Tangara parzudakii lunigera
Tangara Azulinegra,Tangara vassorii
Tangara Coronigualda,Tangara xanthocephala
Cuclillo Crespín,Tapera naevia
Batará Mayor,Taraba major
Mosquerito Colirrojo,Terenotriccus erythrurus
Tangara Golondrina,Tersina viridis
Charrán Real Americano,Thalasseus maximus
Zafiro Coronado (grupo fannyae),Thalurania colombica [fannyae Group]
Batará Pizarroso Occidental,Thamnophilus atrinucha
Batará Barrado,Thamnophilus doliatus
Batará Barrado (grupo doliatus),Thamnophilus doliatus [doliatus Group]
Bandurria Común,Theristicus caudatus
Hemispingo Cejudo,Thlypopsis superciliaris
Hemispingo Cejudo (del Urubamba),Thlypopsis superciliaris urubambae
Tangara Azuleja (grupo cana),Thraupis episcopus [cana Group]
Trepamusgos Listado,Thripadectes holostictus
Trepamusgos Cabecirrayado,Thripadectes virgaticeps
Cucarachero Rufiblanco,Thryophilus rufalbus
Semillero Tomeguín,Tiaris olivaceus
Avetigre Oscura,Tigrisoma fasciatum
Avetigre Colorada,Tigrisoma lineatum
Tinamú Oliváceo,Tinamus major
Titira Piquinegro,Tityra inquisitor
Titira Enmascarado,Tityra semifasciata
Titirijí Común,Todirostrum cinereum
Titirijí Cabecinegro,Todirostrum nigriceps
Picoplano Sulfuroso,Tolmomyias sulphurescens
Archibebe Patigualdo Chico,Tringa flavipes
Archibebe Patigualdo Grande,Tringa melanoleuca
Andarríos Solitario,Tringa solitaria
Chochín Criollo Sureño,Troglodytes musculus
Chochín Criollo Sureño (grupo intermedius),Troglodytes musculus [intermedius Group]
Chochín Montañés,Troglodytes solstitialis
Trogón Caribeño,Trogon caligatus
Trogón Coliblanco,Trogon chionurus
Trogón Acollarado,Trogon collaris
Trogón Acollarado (Aurantiiventris/Underwoodi),Trogon collaris aurantiiventris/underwoodi
Trogón Coliazul,Trogon comptus
Trogón Colinegro Común,Trogon melanurus
Mirlo Azulado,Turdus flavipes
Zorzal Ventricastaño,Turdus fulviventris
Zorzal Pardo,Turdus grayi
Zorzal Sabiá,Turdus leucomelas
Mirlo Serrano,Turdus serranus
Mosquerito Culirrufo,Tyranniscus uropygialis
Mosquerito Coronado,Tyrannulus elatus
Tirano Dominicano,Tyrannus dominicensis
Tirano Melancólico (Sudamericano),Tyrannus melancholicus melancholicus/despotes
Tijereta Sabanera,Tyrannus savana
Tijereta Sabanera (monachus),Tyrannus savana monachus
Tirano Oriental,Tyrannus tyrannus
Lechuza Común Americana,Tyto furcata
Lechuza Común Americana (Galápagos),Tyto furcata punctatissima
Amazilia Andina,Uranomitra franciae
Colibrí de Bouguer Occidental,Urochroa bougueri
Cachudito Ágil,Uromyias agilis
Chotacabras Lira,Uropsalis lyra
Colibrí Puntiblanco Occidental,Urosticte benjamini
Avefría Tero,Vanellus chilensis
Avefría Tero (cayennensis),Vanellus chilensis cayennensis
Avefría Tero (lampronotus),Vanellus chilensis lampronotus
Avefría Andina,Vanellus resplendens
Carpintero Culirrojo,Veniliornis kirkii
Reinita Alidorada,Vermivora chrysoptera
Vireo Chiví,Vireo chivi
Vireo Gorjiamarillo,Vireo flavifrons
Vireo Verdiamarillo,Vireo flavoviridis
Vireo Coronipardo,Vireo leucophrys
Vireo Ojirrojo,Vireo olivaceus
Vireón Coronigrís,Vireolanius leucotis
Semillero Volatinero,Volatinia jacarina
Cóndor Andino,Vultur gryphus
Picolezna Liso Mexicano,Xenops mexicanus
Picolezna Rojizo,Xenops rutilans
Trepatroncos Picofuerte (grupo emigrans),Xiphocolaptes promeropirhynchus [emigrans Group]
Trepatroncos Picofuerte (grupo promeropirhynchus),Xiphocolaptes promeropirhynchus [promeropirhynchus Group]
Trepatroncos Manchado,Xiphorhynchus erythropygius
Trepatroncos Manchado (Sureño),Xiphorhynchus erythropygius [aequatorialis Group]
Trepatroncos Pinto,Xiphorhynchus lachrymosus
Trepatroncos Cacao,Xiphorhynchus susurrans
Trepatroncos Dorsioliva,Xiphorhynchus triangularis
Paloma Perdiz Gorjiblanca,Zentrygon frenata
Mosquerito Caridorado,Zimmerius chrysops
Chingolo Común (grupo capensis),Zonotrichia capensis [capensis Group]
